Date,DIFF,TRFEE,MKTCP,TOTBC,MWNUS,BCDDY,BCDDM,BCDDE,TVTVR,NETDF,MIOPM,MWNTD,MWTRV,AVBLS,BLCHS,ATRCT,MIREV,HRATE,CPTRA,CPTRV,TRVOU,TOUTV,ETRVU,ETRAV,NTRBL,NADDU,NTREP,NTRAT,NTRAN,MKPRU
2009-01-24,1.0,0.0,0.0,81150.0,2.0,0.0,0.0,3294.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000215262024846,0.0,0.0,0.0,9.892343656299999e-06,0.0,1243.75,0.0,10750.0,0.0,800.0,1.0,201.0,201.0,1650.0,201.0,0.0
2009-01-25,1.0,0.0,0.0,90850.0,2.0,0.0,0.0,88.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000206917831578,0.0,0.0,0.0,9.643792308149999e-06,0.0,19400.0,0.0,9750.0,0.0,50.0,1.0,195.0,195.0,1845.0,195.0,0.0
2009-01-26,1.0,0.0,0.0,96650.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205853889728,0.0,0.0,0.0,5.76639127704e-06,0.0,0.0,0.0,5800.0,0.0,0.0,1.0,116.0,116.0,1961.0,116.0,0.0
2009-01-27,1.0,0.0,0.0,101800.0,2.0,0.0,0.0,3328.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000231289169163,0.0,0.0,0.0,5.120157771849999e-06,0.0,447.826086957,0.0,6300.0,0.0,1150.0,1.0,105.0,105.0,2066.0,105.0,0.0
2009-01-28,1.0,0.0,0.0,106950.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205780695943,0.0,0.0,0.0,5.120157771849999e-06,0.0,0.0,0.0,5150.0,0.0,0.0,1.0,103.0,103.0,2169.0,103.0,0.0
2009-01-29,1.0,0.0,0.0,113050.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205485547175,0.0,0.0,0.0,6.06465289481e-06,0.0,0.0,0.0,6100.0,0.0,0.0,1.0,122.0,122.0,2291.0,122.0,0.0
2009-01-30,1.0,0.0,0.0,119100.0,2.0,0.0,0.0,1492.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000217043663845,0.0,0.0,0.0,6.014942625189999e-06,0.0,1008.33333333,0.0,6650.0,0.0,600.0,1.0,122.0,122.0,2413.0,122.0,0.0
2009-01-31,1.0,0.0,0.0,125550.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205572261367,0.0,0.0,0.0,6.41262478222e-06,0.0,0.0,0.0,6450.0,0.0,0.0,1.0,129.0,129.0,2542.0,129.0,0.0
2009-02-01,1.0,0.0,0.0,131350.0,2.0,0.0,0.0,12416.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000227196463223,0.0,0.0,0.0,5.76639127704e-06,0.0,527.272727273,0.0,6900.0,0.0,1100.0,1.0,118.0,118.0,2660.0,118.0,0.0
2009-02-02,1.0,0.0,0.0,137700.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205835958165,0.0,0.0,0.0,6.31320424296e-06,0.0,0.0,0.0,6350.0,0.0,0.0,1.0,127.0,127.0,2787.0,127.0,0.0
2009-02-03,1.0,2.01,0.0,144500.0,2.0,0.0,0.0,920.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000233075198005,0.0,0.0,0.0,6.76059666963e-06,0.0,5911.18449639,0.0,7436.52,0.0,115.0,1.0,145.0,150.0,2937.0,150.0,0.0
2009-02-04,1.0,0.0,0.0,150650.0,2.0,0.0,0.0,826.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000212087863829,0.0,0.0,0.0,6.11436316444e-06,0.0,16171.4435972,0.0,6300.0,0.0,38.0,1.0,129.0,126.0,3063.0,126.0,0.0
2009-02-05,1.0,0.0,0.0,156700.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205725677742,0.0,0.0,0.0,6.014942625189999e-06,0.0,0.0,0.0,6050.0,0.0,0.0,1.0,121.0,121.0,3184.0,121.0,0.0
2009-02-06,1.0,0.0,0.0,163150.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205816224564,0.0,0.0,0.0,6.41262478222e-06,0.0,0.0,0.0,6450.0,0.0,0.0,1.0,129.0,129.0,3313.0,129.0,0.0
2009-02-07,1.0,0.0,0.0,169450.0,2.0,0.0,0.0,10977.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000229752252972,0.0,0.0,0.0,6.26349397333e-06,0.0,547.826086957,0.0,7498.0,0.0,1150.0,1.0,131.0,130.0,3443.0,130.0,0.0
2009-02-08,1.0,0.0,0.0,176150.0,2.0,0.0,0.0,7863.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000207452631708,0.0,0.0,0.0,6.66117613037e-06,0.0,670.0,0.0,7700.0,0.0,1000.0,1.0,135.0,135.0,3578.0,135.0,0.0
2009-02-09,1.0,0.0,0.0,182550.0,2.0,0.0,0.0,13601.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000243552029133,0.0,0.0,0.0,6.36291451259e-06,0.0,290.909090909,0.0,8600.0,0.0,2200.0,1.0,129.0,129.0,3707.0,129.0,0.0
2009-02-10,1.0,0.0,0.0,188900.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205678263987,0.0,0.0,0.0,6.31320424296e-06,0.0,0.0,0.0,6350.0,0.0,0.0,1.0,127.0,127.0,3834.0,127.0,0.0
2009-02-11,1.0,0.0,0.0,195450.0,2.0,0.0,0.0,994.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000214766000063,0.0,0.0,0.0,6.512045321479999e-06,0.0,1871.21471832,0.0,6900.04,0.0,350.0,1.0,132.0,132.0,3966.0,132.0,0.0
2009-02-12,1.0,0.0,0.0,201350.0,2.0,0.0,0.0,198.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000210269022796,0.0,0.0,0.0,5.8658118163e-06,0.0,2950.0,0.0,6100.0,0.0,200.0,1.0,119.0,119.0,4085.0,119.0,0.0
2009-02-13,1.0,0.0,0.0,207550.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205862906671,0.0,0.0,0.0,6.16407343407e-06,0.0,0.0,0.0,6200.0,0.0,0.0,1.0,124.0,124.0,4209.0,124.0,0.0
2009-02-14,1.0,0.0,0.0,214600.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205865143039,0.0,0.0,0.0,7.00914801778e-06,0.0,0.0,0.0,7050.0,0.0,0.0,1.0,141.0,141.0,4350.0,141.0,0.0
2009-02-15,1.0,0.0,0.0,220700.0,2.0,0.0,0.0,3695.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000219321641766,0.0,0.0,0.0,6.06465289481e-06,0.0,677.777777778,0.0,7000.0,0.0,900.0,1.0,125.0,125.0,4475.0,125.0,0.0
2009-02-16,1.0,0.0,0.0,226850.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205885104048,0.0,0.0,0.0,6.11436316444e-06,0.0,0.0,0.0,6150.0,0.0,0.0,1.0,123.0,123.0,4598.0,123.0,0.0
2009-02-17,1.0,0.0,0.0,232750.0,2.0,0.0,0.0,6309.0,0.0,0.0,-2147483648.0,0.0,0.0,0.00023376335532,0.0,0.0,0.0,5.8658118163e-06,0.0,393.333333333,0.0,7400.0,0.0,1500.0,1.0,119.0,119.0,4717.0,119.0,0.0
2009-02-18,1.0,0.0,0.0,238950.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205932124968,0.0,0.0,0.0,6.16407343407e-06,0.0,0.0,0.0,6200.0,0.0,0.0,1.0,124.0,124.0,4841.0,124.0,0.0
2009-02-19,1.0,0.0,0.0,244800.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205969199156,0.0,0.0,0.0,5.816101546669999e-06,0.0,0.0,0.0,5850.0,0.0,0.0,1.0,117.0,117.0,4958.0,117.0,0.0
2009-02-20,1.0,0.0,0.0,251200.0,2.0,0.0,0.0,2555.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000219777226448,0.0,0.0,0.0,6.36291451259e-06,0.0,800.0,0.0,7200.0,0.0,800.0,1.0,129.0,129.0,5087.0,129.0,0.0
2009-02-21,1.0,0.0,0.0,256700.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205958973278,0.0,0.0,0.0,5.46812965926e-06,0.0,0.0,0.0,5500.0,0.0,0.0,1.0,110.0,110.0,5197.0,110.0,0.0
2009-02-22,1.0,0.0,0.0,262750.0,2.0,0.0,0.0,1979.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000217997338161,0.0,0.0,0.0,6.014942625189999e-06,0.0,576.19047619,0.0,7100.0,0.0,1050.0,1.0,125.0,125.0,5322.0,125.0,0.0
2009-02-23,1.0,0.0,0.0,268100.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205940175279,0.0,0.0,0.0,5.318998850369999e-06,0.0,0.0,0.0,5350.0,0.0,0.0,1.0,107.0,107.0,5429.0,107.0,0.0
2009-02-24,1.0,0.0,0.0,273650.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205942102381,0.0,0.0,0.0,5.5178399288899995e-06,0.0,0.0,0.0,5550.0,0.0,0.0,1.0,111.0,111.0,5540.0,111.0,0.0
2009-02-25,1.0,0.0,0.0,279000.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205859959683,0.0,0.0,0.0,5.318998850369999e-06,0.0,0.0,0.0,5350.0,0.0,0.0,1.0,107.0,107.0,5647.0,107.0,0.0
2009-02-26,1.0,0.0,0.0,283800.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205973784129,0.0,0.0,0.0,4.77218588444e-06,0.0,0.0,0.0,4800.0,0.0,0.0,1.0,96.0,96.0,5743.0,96.0,0.0
2009-02-27,1.0,0.0,0.0,289950.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205722281603,0.0,0.0,0.0,6.11436316444e-06,0.0,0.0,0.0,6150.0,0.0,0.0,1.0,123.0,123.0,5866.0,123.0,0.0
2009-02-28,1.0,0.0,0.0,295050.0,2.0,0.0,0.0,9922.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000244795107374,0.0,0.0,0.0,5.07044750222e-06,0.0,283.333333333,0.0,6900.0,0.0,1800.0,1.0,103.0,103.0,5969.0,103.0,0.0
2009-03-01,1.0,0.0,0.0,300350.0,2.0,0.0,0.0,1334.0,0.0,0.0,-2147483648.0,0.0,0.0,0.00021356906531,0.0,0.0,0.0,5.2692885807399995e-06,0.0,1514.28571429,0.0,5650.0,0.0,350.0,1.0,107.0,107.0,6076.0,107.0,0.0
2009-03-02,1.0,0.0,0.0,305550.0,2.0,0.0,0.0,0.0,0.0,0.0,-2147483648.0,0.0,0.0,0.000205938632672,0.0,0.0,0.0,5.16986804148e-06,0.0,0.0,0.0,5200.0,0.0,0.0,1.0,104.0,104.0,6180.0,104.0,0.0
