,MKPRU
1366,12.47499
1367,12.481
1368,12.88
1369,12.8999
1371,12.99
1373,12.7369
1377,12.19
1380,12.0
1382,11.99
1383,11.99
1384,11.95998
1385,11.967
1386,11.85
1387,11.7965
1391,11.71
1393,10.83883
1395,10.95
1398,11.279000000000002
1401,10.68
1402,10.9
1403,10.88997
1404,11.21603
1407,10.95899
1409,11.18
1410,11.129
1411,11.05
1412,11.114
1414,11.8
1418,11.784
1419,12.28
1420,12.43
1424,12.52999
1425,12.40712
1426,12.599
1429,12.68
1430,12.67901
1432,13.5
1435,13.55
1437,13.55
1439,13.63999
1440,13.79989
1441,13.90119
1442,13.7722
1443,13.66548
1444,13.498
1445,13.399
1446,13.399
1447,13.72
1449,13.58998
1450,13.48547
1451,13.45
1452,13.45
1453,13.3989
1456,13.67
1457,13.56998
1458,13.59
1459,13.561
1460,13.4
1461,13.464
1462,13.48986
1463,13.548
1464,13.52999
1465,13.535
1466,13.83
1467,13.879979999999998
1468,14.32
1469,14.29999
1470,14.34999
1472,14.3
1476,15.985
1477,15.84304
1478,15.89
1480,17.59
1483,18.8348
1486,18.45
1489,21.43
1490,21.3
1493,21.05
1494,20.79
1496,22.15
1497,22.15
1498,23.69997
1499,23.61458
1500,24.1955
1502,26.09999
1503,26.53092
1506,25.6083
1507,26.81565
1509,29.81231
1510,29.80012
1511,30.901
1512,29.27998
1513,30.29777
1516,31.40181
1517,33.50001
1519,34.1808
1520,34.10007
1521,36.35
1522,40.04
1523,47.5
1527,46.5
1528,47.7397
1530,46.79999
1531,47.27589
1533,47.11
1536,57.76
1539,71.5
1540,63.0
1543,78.0
1545,93.56701
1546,89.05
1550,108.73
1551,138.79
1553,143.8
1556,184.0
1557,237.99
1558,198.0
1561,109.49999
1562,91.0
1564,91.0
1566,96.5
1567,119.62
1568,123.86
1571,136.08099
1574,135.601
1575,128.00001
1577,141.50002
1578,139.109
1581,93.15
1584,120.94999
1585,106.81
1586,113.95001
1589,115.4
1590,114.32
1591,117.50298
1592,119.0
1595,124.49
1596,123.74995
1599,122.5
1601,125.67
1604,134.04701
1605,132.60997
1608,130.99589
1611,120.60293
1612,120.00002
1613,120.56663
1617,107.8
1621,108.16201
1622,109.0
1623,100.0
1624,101.96998
1627,107.38999
1629,111.97
1630,111.0
1631,109.09
1632,107.68389
1633,101.96936
1634,103.86665
1635,104.40565
1637,96.63498
1638,95.85301
1639,96.5
1641,89.55
1642,82.8
1644,67.85844
1647,77.64
1648,76.32791
1649,78.58899
1651,97.8
1652,95.995
1653,94.75
1654,98.37516
1657,90.40001
1658,93.41082
1659,91.8775
1660,88.93999000000002
1661,91.788
1662,95.396
1664,96.2
1667,99.00001
1668,101.04202
1675,106.4
1677,105.6
1679,102.3
1680,102.61802
1681,103.85001
1682,104.99498
1684,100.03
1686,98.51
1687,98.39
1688,99.02
1692,111.01
1693,107.48
1696,111.8
1697,117.52
1698,119.25
1699,119.48
1700,124.79
1701,132.75
1702,130.82
1705,126.74
1706,124.51
1707,122.44
1708,120.15
1709,118.51
1710,121.66
1711,123.39
1712,124.1
1714,128.29
1715,124.32
1716,125.46
1717,126.02
1718,127.56
1719,127.23
1721,123.98
1723,122.78
1724,123.02
1725,122.59
1727,123.85
1729,126.5
1730,128.1
1734,116.95
1735,122.0
1736,121.51
1738,123.6
1739,123.84
1740,126.08
1744,129.74
1745,135.69
1746,139.24
1749,150.59
1750,165.05
1751,165.71
1752,177.07
1755,195.78
1756,172.81
1758,189.06
1760,202.09
1761,203.39
1763,203.24
1764,204.15
1766,225.1
1767,246.63
1768,258.23
1770,325.56
1771,359.76
1772,296.91
1775,391.64
1776,416.5
1779,463.0
1781,559.99
1782,595.0
1785,837.99
1787,814.0
1788,844.9
1789,961.0
1792,1119.96
1799,727.29
1801,871.0
1802,936.98
1807,848.17
1813,612.5
1814,637.0
1817,658.07
1818,734.42
1822,739.1
1824,746.9
1826,806.21
1827,822.38
1831,825.29
1833,827.46
1834,891.85
1836,807.83
1843,831.72
1847,789.1
1848,806.0
1849,826.77
1850,777.0
1851,800.2
1852,803.6
1855,815.99
1858,809.05
1859,800.0
1860,778.0
1862,707.0
1863,710.0
1864,665.0
1866,667.01
1867,633.99
1868,672.1
1869,651.42
1870,623.5
1875,566.16
1877,626.77
1879,528.0
1880,585.38
1881,585.17
1884,559.88
1886,677.61
1887,664.85
1889,621.3
1890,609.0
1892,621.99
1895,642.61
1896,636.47
1898,634.94
1900,627.0
1902,590.0
1903,579.99
1905,567.13
1906,572.0
1907,580.02
1908,585.7
1909,520.2
1911,499.94
1912,449.02
1914,479.51
1915,445.0
1916,446.31
1918,451.84
1919,459.67
1920,447.74
1922,443.1
1923,401.0
1924,427.99
1925,424.98
1926,405.0
1927,453.14
1928,489.91
1931,479.98
1932,499.9
1933,500.19
1935,493.33
1936,487.3
1937,491.6
1938,459.15
1941,447.0
1942,447.7
1943,449.0
1944,460.01
1945,447.51
1946,434.5
1947,436.21
1948,427.83
1949,430.33
1951,441.5
1952,452.02
1953,452.42
1956,438.95
1957,447.49
1959,449.51
1960,449.08
1963,485.01
1964,494.87
1968,575.0
1973,609.03
1976,631.49
1977,673.9
1978,644.66
1979,658.72
1980,655.75
1981,654.3
1982,652.0
1984,649.89
1987,582.0
1988,557.92
1989,560.49
1991,597.65
1994,593.33
1995,590.99
1996,596.08
2000,569.0
2002,597.08
2003,596.0
2005,654.45
2008,635.49
2009,632.78
2010,634.49
2012,623.7
2014,619.78
2016,631.98
2017,630.9
2019,623.17
2020,619.48
2021,626.0
2022,629.86
2023,630.92
2024,623.77
2025,619.14
2027,622.01
2028,601.18
2030,595.88
2031,592.51
2032,586.96
2033,581.5
2034,573.48
2035,586.0
2039,593.94
2041,581.6
2043,589.3
2044,588.61
2047,569.54
2049,521.66
2053,468.19
2054,487.5
2056,525.78
2057,518.25
2058,503.88
2059,510.75
2060,503.79
2062,514.84
2065,503.88
2066,477.98
2067,482.59
2068,483.65
2069,472.76
2070,486.0
2071,485.91
2076,485.03
2078,470.43
2079,479.86
2080,475.49
2081,475.3
2082,468.0
2083,448.0
2084,428.19
2085,398.89
2086,415.56
2092,405.14
2093,400.74
2096,382.67
2097,385.27
2099,363.75
2101,293.67
2106,358.97
2108,364.83
2109,381.46
2111,394.0
2112,378.02
2113,382.83
2115,388.99
2116,384.95
2117,387.0
2119,363.99
2120,358.46
2121,348.89
2122,355.43
2123,356.5
2124,354.94
2125,343.53
2126,337.0
2129,326.41
2130,325.81
2131,328.72
2136,356.34
2137,375.87
2138,365.04
2139,430.07
2140,406.56
2141,396.56
2142,373.14
2144,378.48
2145,379.91
2147,361.7
2150,362.99
2151,384.0
2152,381.03
2156,377.22
2158,381.72
2160,378.25
2161,371.67
2162,373.98
2163,374.05
2164,375.73
2165,367.01
2167,350.97
2168,356.1
2170,350.31
2171,353.28
2172,352.15
2173,336.73
2174,318.2
2176,317.63
2177,325.7
2178,326.93
2179,332.53
2180,336.96
2184,314.45
2187,313.09
2189,315.7
2192,270.93
2193,276.8
2194,276.8
2195,276.8
2202,176.5
2203,218.11
2204,205.35
2205,197.12
2206,211.18
2208,212.99
2211,233.03
2212,244.64
2213,247.11
2214,271.47
2215,266.03
2216,249.25
2218,230.11
2220,220.72
2221,223.0
2222,236.51
2223,222.56
2224,217.37
2225,220.47
2226,225.16
2229,220.16
2233,245.31
2234,243.99
2235,235.86
2237,234.87
2238,241.59
2239,243.56
2240,245.66
2245,237.5
2247,252.98
2248,247.56
2250,275.8
2251,281.65
2252,265.63
2254,275.83
2255,273.87
2256,287.48
2257,294.06
2258,293.29
2260,289.51
2261,284.21
2262,283.57
2263,290.88
2265,265.85
2266,260.62
2267,259.8
2271,247.83
2272,245.68
2276,244.05
2278,242.92
2281,254.39
2282,253.77
2283,257.03
2285,255.48
2287,244.98
2288,235.71
2290,236.76
2292,216.0
2295,222.67
2296,222.32
2297,225.72
2298,224.63
2300,237.34
2302,230.93
2305,222.59
2308,235.13
2309,233.43
2312,236.17
2313,234.66
2314,235.79
2318,239.35
2321,242.72
2323,237.6
2324,236.63
2328,234.6
2331,238.77
2332,240.46
2333,235.65
2337,235.87
2338,231.12
2339,231.95
2340,222.4
2341,224.83
2343,225.54
2346,222.6
2350,229.0
2355,245.35
2356,249.96
2358,246.45
2359,244.08
2360,242.47
2361,246.35
2362,243.92
2363,240.64
2368,253.8
2371,255.06
2374,270.92
2376,267.26
2377,269.68
2379,286.98
2380,293.5
2381,309.3
2383,292.87
2384,290.95
2387,278.08
2389,278.26
2390,278.97
2391,277.54
2392,276.64
2393,287.3
2394,287.12
2396,290.79
2397,295.24
2398,290.7
2399,287.56
2400,284.78
2401,280.72
2403,284.39
2404,285.0
2405,282.69
2407,279.39
2411,265.85
2413,265.97
2415,265.41
2416,257.47
2420,233.29
2421,233.23
2422,233.59
2423,226.04
2425,213.24
2426,222.02
2427,228.84
2428,228.27
2430,228.22
2431,226.47
2434,230.68
2435,227.42
2436,230.8
2437,234.67
2438,240.2
2439,241.31
2440,243.08
2442,239.68
2443,239.93
2448,227.86
2450,232.99
2452,230.2
2453,226.56
2454,229.43
2455,229.95
2457,235.79
2458,232.85
2460,237.68
2461,237.91
2462,238.98
2463,237.78
2464,239.17
2467,246.67
2468,245.25
2469,243.91
2470,244.78
2471,245.79
2474,249.58
2475,254.6
2476,254.73
2477,262.31
2478,269.07
2479,262.44
2482,269.8
2483,269.1
2485,277.43
2486,279.9
2488,284.95
2491,310.36
2495,340.69
2499,388.38
2500,387.38
2501,381.51
2502,378.8
2503,353.58
2506,332.2
2507,331.9
2509,329.32
2510,335.95
2513,320.62
2517,321.1
2518,325.0
2519,348.0
2520,359.54
2521,353.88
2525,360.98
2527,377.72
2530,395.58
2533,415.64
2534,444.29
2535,426.06
2538,459.48
2540,453.39
2541,458.95
2542,461.16
2543,434.98
2544,438.7
2545,435.98
2546,441.4
2547,453.95
2548,454.98
2549,417.99
2550,418.46
2551,423.98
2552,431.13
2554,429.34
2559,431.9
2560,430.75
2562,447.04
2566,446.66
2568,431.9
2569,391.62
2570,370.4
2571,385.45
2573,378.66
2574,408.33
2576,385.7
2577,388.5
2578,404.75
2579,387.09
2580,394.12
2581,394.45
2582,382.44
2583,377.26
2584,378.24
2585,376.86
2586,372.0
2587,373.48
2590,386.49
2595,378.98
2596,376.75
2598,388.6
2600,402.64
2601,406.69
2602,418.04
2603,418.97
2605,439.48
2606,434.67
2608,417.0
2609,423.1
2612,432.0
2613,433.47
2614,436.18
2617,421.44
2620,408.86
2621,411.94
2622,412.39
2623,413.1
2627,413.89
2628,414.78
2630,415.99
2633,405.59
2637,417.8
2641,426.8
2643,414.0
2645,416.94
2646,416.25
2647,418.07
2649,418.99
2650,421.77
2652,420.33
2653,422.2
2654,417.73
2657,425.89
2659,423.76
2660,429.09
2661,429.43
2662,425.71
2665,442.34
2666,451.0
2667,447.25
2668,451.29
2669,459.4
2671,467.98
2672,447.31
2673,450.0
2674,456.16
2675,447.17
2676,451.9
2677,443.9
2678,450.96
2679,447.37
2681,460.91
2682,459.04
2683,457.82
2684,461.63
2687,454.7
2688,456.82
2689,455.65
2690,457.08
2692,452.89
2695,441.25
2697,438.0
2698,442.17
2699,445.34
2701,452.49
2703,522.43
2708,539.99
2709,568.0
2710,573.74
2711,574.02
2712,584.5
2714,578.68
2716,577.549875
2717,594.4399875
2718,664.8465
2719,702.0665
2721,692.28
2722,762.43
2724,754.36
2725,760.81
2726,729.19
2727,665.95
2728,587.45
2729,624.54
2733,646.7
2734,646.37
2735,637.95
2736,671.4
2741,666.48
2743,636.35
2744,659.55
2745,651.86
2746,648.09
2749,657.45
2750,658.83
2753,675.45
2754,673.2
2756,665.64
2758,651.58
2759,655.84
2760,661.41
2762,655.06
2764,655.32
2766,654.73
2767,628.01
2768,606.32
2770,565.05
2772,576.55
2773,588.23
2774,594.27
2775,592.69
2776,588.77
2778,589.24
2779,587.75
2780,586.43
2781,570.97
2782,570.14
2787,583.2
2788,582.82
2789,588.97
2790,586.18
2793,581.07
2794,571.54
2795,576.53
2797,578.61
2798,574.82
2799,572.81
2800,576.21
2802,610.59
2803,608.1
2805,614.46
2806,627.77
2807,625.07
2808,625.76
2809,608.15
2810,609.67
2811,610.92
2812,612.08
2816,611.58
2817,610.19
2822,603.88
2823,601.74
2824,608.14
2825,605.96
2828,609.39
2829,614.82
2832,609.62
2833,612.35
2834,612.08
2837,615.65
2840,635.01
2841,635.96
2842,639.56
2844,641.42
2846,636.29
2847,629.25
2848,630.22
2850,655.48
2851,653.0
2853,655.31
2854,672.22
2855,682.22
2858,698.0
2862,686.17
2863,703.69
2864,704.79
2866,703.81
2868,720.93
2870,715.45
2872,701.9
2876,736.96
2879,729.06
2880,738.53
2881,748.74
2882,741.63
2883,737.45
2885,733.67
2886,727.96
2889,742.69
2890,752.24
2891,772.43
2893,764.81
2894,754.63
2895,756.62
2896,766.11
2897,769.72
2898,770.02
2899,773.4
2901,777.0
2904,776.75
2906,788.7
2907,788.4
2909,793.09
2910,824.21
2912,901.31
2913,891.61
2914,886.9
2917,967.48
2918,963.38
2920,959.87
2921,997.72
2922,1015.97
2923,1023.14
2924,1126.76
2925,994.67
2926,883.09
2927,896.83
2931,785.22
2933,826.29
2934,817.91
2936,830.5
2939,895.79
2940,893.62
2941,920.44
2942,918.6
2943,922.07
2944,890.32
2945,893.04
2949,915.93
2951,964.7
2954,1013.02
2957,1024.01
2959,1052.37
2961,999.1
2962,1008.84
2963,1000.6
2964,999.87
2965,1011.78
2966,1012.32
2967,1035.2
2968,1055.53
2970,1052.77
2971,1084.75
2972,1123.78
2974,1172.01
2976,1150.6
2977,1175.04
2978,1190.75
2980,1222.49
2982,1285.14
2983,1267.02
2984,1270.93
2985,1275.19
2987,1157.39
2988,1192.46
2989,1098.61
2990,1179.15
2991,1227.49
2997,952.23
2998,1029.8
3000,1118.63
3001,1028.72
3002,1038.78
3005,956.78
3006,1037.22
3008,1040.57
3009,1037.9
3011,1086.92
3012,1099.16
3014,1141.6
3015,1133.07
3017,1190.45
3018,1181.14
3019,1208.8
3020,1207.74
3021,1226.61
3022,1218.92
3023,1180.02
3027,1205.63
3028,1216.18
3030,1241.68
3032,1261.31
3036,1309.1
3037,1345.35
3039,1334.97
3040,1353.0
3041,1417.17
3042,1452.07
3043,1507.57
3044,1508.29
3045,1533.33
3046,1560.41
3049,1721.28
3050,1762.88
3051,1820.99
3055,1723.12
3057,1807.48
