,MKPRU
1341,10.57888
1343,11.29
1344,11.21
1345,11.14288
1346,11.127
1347,11.19401
1352,11.99
1353,11.9625
1355,12.61
1360,12.29888
1362,12.28
1364,12.444
1368,12.88
1369,12.8999
1370,13.0899
1372,12.899989999999999
1373,12.7369
1374,12.08
1375,12.35
1376,12.15
1378,12.15
1379,12.137
1381,12.03
1383,11.99
1384,11.95998
1385,11.967
1387,11.7965
1388,11.81
1389,12.0
1390,11.82
1393,10.83883
1395,10.95
1396,10.85
1397,11.14
1399,11.20999
1400,10.60097
1401,10.68
1402,10.9
1403,10.88997
1404,11.21603
1405,11.0979
1406,11.07
1407,10.95899
1408,10.939
1411,11.05
1415,11.832
1416,11.79998
1417,11.84
1418,11.784
1419,12.28
1420,12.43
1421,12.4108
1422,12.6
1423,12.6515
1425,12.407119999999999
1426,12.599
1433,13.6888
1434,13.68
1435,13.55
1436,13.53
1440,13.79989
1442,13.7722
1445,13.399000000000001
1446,13.399000000000001
1447,13.72
1449,13.589979999999999
1451,13.45
1452,13.45
1453,13.3989
1454,13.47
1455,13.6499
1457,13.56998
1458,13.59
1460,13.4
1462,13.48986
1463,13.548
1464,13.52999
1467,13.879979999999998
1469,14.29999
1470,14.34999
1471,14.3148
1472,14.3
1474,14.689
1475,15.39
1477,15.84304
1478,15.89
1480,17.59
1482,19.189989999999998
1483,18.8348
1484,17.61926
1485,17.99999
1486,18.45
1488,19.7
1489,21.43
1490,21.3
1492,20.68
1494,20.79
1495,21.3339
1497,22.15
1498,23.69997
1499,23.61458
1501,25.76997
1503,26.530920000000002
1504,26.99898
1505,27.070090000000004
1506,25.6083
1507,26.81565
1508,28.789990000000003
1509,29.812309999999997
1510,29.80012
1511,30.901
1512,29.27998
1513,30.29777
1515,31.179000000000002
1516,31.401809999999998
1517,33.500009999999996
1518,34.877990000000004
1519,34.1808
1521,36.35
1522,40.04
1523,47.5
1524,42.492709999999995
1525,42.98
1526,46.01112
1529,45.01771
1531,47.275890000000004
1533,47.11
1534,47.4419
1535,47.65
1536,57.76
1537,63.40967
1538,73.8
