,Date,DIFF,TRFEE,MKTCP,TOTBC,MWNUS,MWNTD,MWTRV,AVBLS,BLCHS,ATRCT,MIREV,HRATE,CPTRA,CPTRV,TRVOU,TOUTV,ETRVU,ETRAV,NTRBL,NADDU,NTREP,NTRAT,NTRAN,MKPRU
2565,2016-01-12,103880340815.0,33.93862178,6738584831.75,15071425.0,5626227.0,84107.0,702167.4358069999,0.640220341176,54660.0,6.7,1914972.13,877866.3576959999,10.6522861307,1.7925407623299998,25254134.411,1754221.804,106830047.0,238935.0,1369.0,365605.0,173501.0,102957264.0,179771.0,447.11
2566,2016-01-13,103880340815.0,34.68518114,6733767994.5,15075825.0,5647934.0,95209.0,264826.061959,0.5888228977269999,54763.0,6.733333333330001,1980490.44,908849.8762030001,10.0708365877,1.9994186143700001,20987190.7616,1240624.8409,99053316.0,221764.0,1386.0,372889.0,192859.0,103153920.0,196656.0,446.66
2567,2016-01-14,113354299801.0,34.14797822,6477765250.5,15079650.0,5687111.0,98708.0,302572.3036,0.661572366013,54864.0,7.45,1657710.63,862135.539442,8.65067020477,1.5432361690799998,45901744.1211,1418323.06242,107417819.0,250059.0,1222.0,341119.0,187904.0,103345548.0,191628.0,429.57
2568,2016-01-15,113354299801.0,32.437961800000004,6514326105.0,15082950.0,5698571.0,97189.0,271810.95555199997,0.7364873712119999,54961.0,8.88333333333,1439090.8,743803.2104989999,7.84716069578,1.62865554465,19112138.8037,1200884.44414,88360661.0,204586.0,1380.0,354601.0,178801.0,103528938.0,183390.0,431.9
2569,2016-01-16,113354299801.0,35.56461585,5907989110.5,15086025.0,5708925.0,93481.0,280225.918942,0.780627439024,55057.0,10.5,1217938.2,693089.355238,6.579715296719999,0.9548091840200001,116205455.81799999,1605659.3542,127558283.0,325720.0,1342.0,344968.0,181095.0,103714043.0,185105.0,391.62
2570,2016-01-17,113354299801.0,35.06789583,5589150800.0,15089500.0,5718538.0,97635.0,317487.903304,0.7594235467630001,55162.0,9.3,1300104.0,783247.320146,6.83182957525,1.15354507695,71683286.4755,1627411.81766,112705089.0,304279.0,1568.0,393797.0,187774.0,103904344.0,190301.0,370.4
2571,2016-01-18,113354299801.0,34.12662086,5817587213.75,15092975.0,5727557.0,86602.0,170637.77796500002,0.745804992806,55265.0,8.433333333330001,1352544.05,783247.320146,7.017781519319999,1.94828097687,25665045.6335,6688157.58444,69422433.0,180107.0,1370.0,447783.0,188183.0,104097075.0,192731.0,385.45
2572,2016-01-19,113354299801.0,38.60077135,5816707008.0,15097350.0,5737505.0,83942.0,231306.082536,0.665721045714,55381.0,5.95,1700240.64,986102.741192,7.947500818010001,2.29852085995,25780217.133,9211159.67578,73971077.0,191993.0,1122.0,395421.0,209219.0,104311009.0,213934.0,385.28
2573,2016-01-20,113354299801.0,40.123582299999995,5718173059.5,15101075.0,5748099.0,108415.0,288276.087504,0.7521260402680001,55493.0,8.316666666669999,1425654.9,839596.048215,6.92956910589,1.65217437466,25270093.755,10636308.7852,86289615.0,227882.0,1166.0,382142.0,199344.0,104516744.0,205735.0,378.66
2574,2016-01-21,113354299801.0,46.36233719,6167712359.25,15104725.0,5758594.0,95520.0,234009.107044,0.863243054795,55619.0,8.583333333330001,1509187.68,822691.429794,7.698640943110001,1.177138386,78165567.7533,5061050.41259,128208178.0,313982.0,1217.0,387569.0,190881.0,104712777.0,196033.0,408.33
2575,2016-01-22,113354299801.0,44.97159781,6164094600.0,15108075.0,5769550.0,103505.0,366206.99672600004,0.840713619403,55731.0,9.166666666669999,1384752.0,755072.956112,6.586529680369999,1.0235460193700001,37002467.8592,3520396.3316800003,135289667.0,331592.0,1440.0,406195.0,204315.0,104923017.0,210240.0,408.0
